500
0 N 58 N 58 N 98 35 62 N 5 N N N N N 86 31 73 62 N N 52 45 52 66 N 0 N N N 54 N N 90 N N 31 N 4 80 55 20 N N 100 N N N 43 N 16 96 32 N N N 91 55 18 N 54 53 8 N N 69 N 96 21 N N N N 15 N N N 85 48 98 N N N 65 90 N N N 0 58 40 88 N 100 N 94 N 44 N 2 N N N N 45 47 N 77 25 93 1 82 N N N N 40 4 N 95 N 38 N 62 N N N N N N N N N N 15 83 42 N N N 59 52 N 37 6 57 N 49 N N N 76 N 16 N N 24 N N 60 N N 63 N 65 97 81 N N N N N N 8 N 50 N 74 5 70 95 N 45 21 52 90 80 60 N 41 8 17 N N N 39 67 N 92 40 N 60 38 N N 67 N N 76 67 N N 15 N 42 53 95 N N 59 91 N 51 N N 0 N N 72 77 54 N N N N 78 N 65 79 32 N N N N 40 N 15 36 N N 50 N N N 67 9 15 88 N N 13 2 98 66 N 23 N N 13 N N N N N 19 N N 46 24 31 65 N N 32 41 7 87 95 71 45 77 N N 2 N N N 15 17 N N N N 25 20 N N 76 76 28 N N 25 N 21 28 N 14 20 N 66 N 79 54 N 19 79 N N N N 31 95 57 78 60 65 71 26 N 54 N N 45 60 N 2 N 5 78 N 98 N N N 15 N N N N 60 N N 12 N N 90 N 71 24 N 3 91 N 84 66 82 33 86 41 N N N 40 N N N N N 4 N N 58 83 N N N 0 N N 24 N N 73 N 94 19 72 N 36 N 91 N N 73 16 100 N N 69 14 7 73 N N N N N 58 56 N 83 N 67 32 81 34 45 N N 5 50 39 28 68 N N 15 N 12 N 72 31 76 N N 42 0 N N N 11 12 77 61 N 53 81 34 N 5 1 73 N 82 35 95 53 41 N 34 64 N 84 N 30 N N 88 48 88 N 3 N N 16 N N 49 
3 0 14 35 N N N 5 N 57 94 N N 92 17 N N N N N N 19 N N 1 40 28 51 N 82 78 N N 38 40 N N N N N N N N 22 N 2 N N 78 57 90 N N 55 N 3 N N 56 N 89 N 58 N N 18 N N 64 37 N N N 92 N N 17 15 N 91 96 N 26 32 N N 21 N 81 N 17 N 49 N 57 N N N N 37 5 N 4 94 61 N 5 58 N 7 82 N N N N 54 N 60 N N N N N N 89 N 75 58 80 36 5 N N 54 49 N N N N N N 76 N 60 52 N 79 N N 69 44 N N N N N 0 50 N N 99 N 49 N 100 14 91 29 2 N 80 18 57 N 58 56 N 100 5 39 N 11 63 N N 97 32 N 79 72 N N 28 52 N N 67 51 N N 93 N 79 N N N N N 13 N N 63 N N 75 58 N 67 N N N 80 24 86 N 81 N 62 N 41 N 100 67 N N 69 N N N 85 N N 97 9 N N 18 83 N 87 40 45 61 25 N N N 85 N N N 99 83 97 N 63 99 N 64 41 75 N 35 0 N 61 65 62 N N N N N 83 N 11 90 30 N 71 63 N N 51 83 N N N N 28 70 N 67 63 43 95 N 24 N N 6 N 36 66 27 91 24 53 N 7 81 94 N 34 34 N N N N N N N 26 89 N N 16 N N 78 41 91 78 N N 85 46 16 N 90 N 79 64 4 84 N 58 99 88 41 N 25 N 76 52 N 15 99 77 80 N N N 25 N N 83 33 N N N 100 N 5 60 29 N N N N 91 N 98 N N N 39 60 N N N N N 68 N 68 37 N 32 N 47 N N 3 67 77 99 N N N N N N N N 96 45 49 N 25 N 6 77 N 81 N 69 29 26 N 63 N 91 20 N N N 77 N N N N 41 N N 81 N 43 13 42 N 99 40 59 24 66 N N 33 N 91 18 N N 21 N N N N N 63 N N N N N 69 22 68 2 N 62 66 37 N 90 53 N 74 28 
N 88 0 52 33 50 N 93 65 N 18 N 21 N N 35 N 61 N N 82 N N 53 N 86 56 N N 78 N 52 83 N 90 51 56 N N N N 83 N N N N N 69 56 27 N 62 95 N 59 N N N N 98 N 99 41 N 90 67 40 N N 1 32 N 18 N 20 45 N 17 N 28 67 1 31 89 N N N N N N 60 77 73 N N N 6 48 N 83 N N N N 63 16 93 12 N 69 41 36 N N 72 N N 58 33 N 16 72 72 9 N 2 97 N 31 82 N N 49 98 98 95 40 60 95 37 N N 86 48 N N 52 28 28 59 N 22 50 75 N 57 25 9 N 7 68 N 79 30 N N 64 N 89 93 57 74 N 43 7 38 96 90 N 11 100 N N 49 60 51 94 N N N 100 46 69 N N 1 60 N 81 29 N 50 60 N N N 84 N 43 73 67 N N N N N 4 1 32 97 28 43 N 4 N 83 N N 33 76 63 N 64 N 5 N N 96 N N N N N 77 N N 60 N 50 N 83 75 N N N 7 N N N N N 26 N N N N N 85 N N N 23 N N N 63 67 33 N N N 25 95 N N 68 N 75 N 59 35 29 50 32 N N N N N 43 N 74 11 7 55 N 25 N N 41 80 40 47 N N N 22 80 6 69 N N 13 N N N N N 81 N N 72 86 N N 61 88 N 51 53 N N N N 67 N 94 N 74 48 N N 38 21 16 N N N N N N N 68 81 51 88 28 N N 54 42 N 78 33 N 16 N 54 N N N 89 69 57 61 19 N 1 N N N 32 N N N N N 10 N N 14 N 67 N 1 25 32 N N N N 2 N N N N N N N N N 65 N N N 81 63 N N 21 N 53 N 39 N 42 N 69 51 59 95 35 16 N 63 N N N N N N N 53 71 N 31 8 N N 39 64 59 11 N N N 92 N 71 N 71 61 N N 47 96 N 85 N N N N 33 N N 40 86 14 28 0 N 58 77 N N 18 N 64 17 N 
N N 33 0 44 80 22 79 10 N N 3 40 87 N 79 65 83 N 45 89 N 100 45 N 72 24 53 12 1 39 82 66 72 64 N N N N 54 31 2 N N 32 89 N N N N N 12 67 N N N N 78 N N N N 73 28 26 90 52 20 39 N 20 N N N 40 N 63 29 N 49 7 N N 32 N 88 N N 36 16 84 N 4 N N 83 73 79 72 N N 82 81 50 N 32 N N N 94 64 N N 89 N N N 49 10 35 N 14 32 64 N 97 1 15 N 5 62 N N 38 53 38 81 52 27 35 59 N 87 21 N N N 33 81 64 N 2 97 87 18 32 74 N 66 34 76 N N 62 32 3 N N 71 35 N N 72 58 73 59 96 N N N 34 N N 86 28 N 6 19 N N N N N 0 N N 75 43 74 2 N 3 N 33 N N 25 34 72 N N 73 N N N N 58 82 39 N 42 N N N 80 64 5 66 48 50 97 N 15 N N N N 1 N 22 54 N 65 27 95 81 38 N N N N 37 N 19 N 38 78 N 56 N N 41 41 86 32 N 81 84 70 79 12 93 N N 6 N N N N N N 71 92 19 40 N N N 55 7 76 20 73 N N 93 N 57 N 99 4 N 79 N N N N N N 57 N N N N 19 25 10 N 17 88 N N N N 85 47 49 95 35 7 31 46 N N 7 79 60 N N 60 N 55 51 N N N 42 N N 73 N N N 60 N 28 N 6 30 N N N 89 15 N 88 N 75 N 46 99 98 N 23 82 N 52 N N 59 N 19 3 39 N 70 62 4 94 30 N N 81 19 N N 22 N N N 12 87 100 46 27 N 71 21 N 17 N 55 N N N N N 89 N N N 8 78 100 N N N 57 33 N 63 70 N N 53 N 19 N 74 N 8 N 8 1 N N N N 59 39 N N 87 52 70 58 N 40 29 N N 78 11 90 N 58 N N N 7 N 76 N 94 56 99 N N N N N N N 61 N N N 48 42 79 55 N 63 N 15 N 71 100 71 N 
87 59 48 N 0 2 4 N N 35 34 24 N N N N 76 78 N N N N N 45 15 N N N 14 77 N N 16 62 N 74 N 52 70 N 6 N 29 16 N 80 N 12 83 22 N N N N 44 68 N 19 4 N 10 N N 36 N 63 49 N N 14 39 61 31 88 89 N N 50 90 N N N 82 N 44 20 N 61 57 N N N N 46 79 N N N N N N N N N N N 27 N N N 70 40 N N 51 N 67 57 N N 94 N N 46 N 61 N 51 97 78 70 65 N 28 N N 49 28 N 25 2 N N N N 75 N N N 88 55 N 61 N 38 N 0 N 72 N 32 N N 53 N 78 23 N 49 N N N 61 76 N N N 38 N 63 58 49 N 49 N 98 16 N 77 59 N 74 N N 89 N 65 40 N N N N 73 N 88 N N 20 71 79 N N 14 19 99 64 39 99 14 66 N N 64 N N N N 52 37 N N 99 32 N 31 78 N N 55 N N N 25 N 55 N 4 N N 88 86 N N N 80 N N 57 33 N N 3 64 N N 34 N 79 35 N N N 86 N 35 34 1 92 76 39 N N N 34 N N 92 N 69 N 1 N 87 N N 18 N N 90 30 23 N N N N 2 79 78 N N N N N N N 0 N 89 50 N 5 81 14 63 N N 19 27 N 48 N 80 N 10 73 65 N N 4 86 20 N 36 N 54 79 26 73 37 53 N 29 N 86 5 N N N N 72 50 1 7 N N 13 N 53 56 84 23 N 1 N N N 1 N 30 N N 33 13 38 59 71 N 2 55 N N 31 N 95 N 99 66 76 N 89 46 N 50 50 85 N N 59 39 38 38 30 N N 95 43 18 N 3 27 N 75 N 25 N 79 100 N N N 51 49 N 44 55 29 N 54 10 N 44 N 12 48 N 42 N 55 94 8 71 N N N 6 N 99 N 8 N N 15 N N N 50 1 N N 56 N N N 64 N 27 85 32 N 29 N N N N 6 N 31 N N 90 N N N N N N 77 N 70 54 
N 3 6 N 1 0 N 75 4 N 3 86 N 49 74 80 76 54 5 99 N N N N 94 N N 81 65 51 N 40 55 N N 90 2 N 65 13 N 15 N 19 0 50 N N 34 99 N 46 42 N N N 92 N 56 26 14 73 N N 88 N 34 N N N N N N 61 64 N N 24 N 37 9 N N N N N N N 31 N N 48 66 80 N N 76 N 33 25 14 86 N N 45 N 88 N 18 64 56 N N 76 N 82 N 83 23 N 3 31 N 38 N 6 N N 76 84 7 6 N 62 36 N N 22 92 N 60 N 18 N 38 N N N 75 80 73 72 N N N 49 N 34 N 92 N N N N N 83 74 47 87 87 87 N N 63 N 16 N N N N N 44 N N N 51 3 70 46 80 N 45 1 11 4 12 N 37 N 47 N N N 75 N N 7 71 69 18 N N N 64 N 34 N 23 25 N 73 N 30 39 N N 12 87 15 N N 32 7 1 N N 5 N 98 N N 64 32 N 37 N N N 0 87 N N N 81 64 N 59 N N N 5 N 41 40 N 72 N 86 77 N N N N N N 45 88 N N N N 23 80 24 73 N 19 37 N N N N N 62 31 17 67 N 33 N 7 N N 23 N N 26 81 38 N 33 N 100 77 N N 74 N 9 83 8 44 80 1 N 2 93 N 38 62 N N 31 N 92 29 51 72 N N 66 73 N 81 3 N 9 67 88 N 80 88 8 N 98 67 N 4 N N N N N 48 42 70 43 N N N 51 74 83 N N 46 51 82 N 81 N 86 93 40 N N 84 N 47 4 61 72 N 91 N N N 71 N N 22 N 20 62 90 N N 89 N 8 76 N N 44 70 49 1 40 3 N 73 52 N 7 N 47 95 21 75 N 55 11 66 1 N N N 15 N N N 34 N N N 87 N N 55 N N 36 N N N 75 N N N N N N N 88 N N N 73 N 19 N 12 N 92 N 27 N 29 66 33 N N N N N 80 N 54 2 73 78 N 80 92 N N 82 N 10 43 
N 73 N N N 57 0 77 N 65 55 26 N 37 N N 63 36 N 80 52 N 43 N N 32 11 49 39 N 82 53 6 53 95 N N 61 N N 43 N 18 N N 49 N N N 30 55 9 N N N 66 100 N 70 N N N N N N 49 N 31 57 40 N N 67 22 N 4 N 15 N N 82 N 74 N 80 24 N N 49 78 79 N N N 91 N N N N N 79 N N 89 100 90 N N 19 69 51 N 97 N 8 47 N N 27 N 72 N 98 N 64 53 N N 95 1 57 N N 20 N 83 55 N 48 N N 51 83 26 N N N N N N N 79 N 58 N N 34 N N N N N 2 97 N 92 N N 16 63 2 86 85 N N N N N 90 N 11 N N N 50 37 N 41 100 89 N N 69 N N 73 N 28 49 N 29 78 N 94 46 27 38 N N N N N N N 99 N N 48 31 N N N 84 23 N N 51 N N N N 82 N 6 N 21 29 N N N 25 N 13 70 53 N 16 39 91 94 N N 20 7 N 16 85 47 N N 82 N N 70 10 58 N 82 47 18 N N N N N 40 36 N N 48 N N 89 12 N N N 80 N N 53 69 38 42 72 59 N 15 N N N N N 18 37 41 N N 1 N 54 49 N 15 N N 63 78 N 92 N N N N 39 N 82 80 N 82 N N N N 93 72 N 91 88 14 N N 45 N N 86 N 67 62 68 N N N 65 N 81 N N N 48 61 25 84 34 N N 86 53 N N N N N N 95 N 65 1 8 N N N 1 8 N N 3 28 86 83 N 9 52 N N 10 84 N N 72 40 N N 67 N N 57 70 N 84 39 N N 75 20 N N 85 16 7 N 66 27 N 48 27 N 39 92 58 N N N 84 N 7 7 N N 16 30 N N 46 4 N N N 2 N N N 32 N N N 23 95 85 3 N 18 N N N N N N N N N 26 N 44 N N N N N N 8 N N 24 17 32 87 N N 14 N N 92 38 N N 0 N N 45 
N 19 N 100 60 N N 0 27 70 72 65 34 N 12 N N 60 N N N 77 73 N N 16 N 75 N 32 57 N 88 68 7 N 44 47 62 N N 74 N N N 45 7 88 N 78 53 74 46 N 92 N N N N N N 76 18 N 46 55 N N 99 N 77 9 5 33 28 N 84 N 43 N N N 70 N 16 N 61 N N 20 2 0 N 48 N N N N 26 N 35 N 20 65 N N N N 7 N N N N 1 24 N N 80 47 N N 79 75 N 95 21 N N N N 41 N 75 N 42 68 80 11 20 49 N 78 62 N N 21 N 55 45 7 N 87 79 8 N 48 N N N 28 N 72 N N 54 59 N N 60 8 45 N 86 90 66 N N 51 N 45 53 94 N N 98 91 N N 80 17 N 37 N N 36 65 N 83 100 N N N N 5 N N N N 69 N N N 81 79 81 N 16 N N N 90 63 28 94 N 23 N N 8 0 N 68 N N N N N N 5 N 31 76 N N 35 52 94 68 7 37 82 41 83 N 72 47 46 N 45 N 72 51 18 N N N N 66 57 N N N 81 N 16 N N 60 N 34 3 N N N 53 90 47 N N 13 52 98 7 N N 92 53 35 N N N N N N N N N N N 22 N N 47 18 N 16 N N 37 59 47 70 N 88 N 76 N 51 N 39 N 5 54 2 N 50 N N N 12 66 44 67 N 39 N N 57 N N N 49 49 N N N N N N N N N 97 27 N 90 69 N 75 N N 73 26 N N 7 N 25 N 93 N N N 26 8 10 N N N 66 N 45 53 44 N 3 31 10 N 3 62 N N N N N 30 N N 62 61 16 96 N N N N N 4 69 N N N 69 19 40 N 70 N 10 N N 59 N N N N N N N N 40 88 12 N N 11 N 51 N N N 46 N 25 12 84 N N 93 N 10 18 N N N 74 N N 13 2 4 N N 94 1 43 4 71 48 39 N N N N N 63 N 15 44 73 N N N 17 N N 32 60 N 
N N 57 83 30 N N N 0 N N 92 N 64 N 100 N N 6 20 55 N 43 2 N 28 38 N N 23 N 81 N N 71 43 80 32 17 N 62 N N 53 N N 76 N N 55 2 4 N 14 98 N N 55 85 31 N N 87 0 N N N 43 N 98 71 43 N N N 92 N 35 N N N 56 N 3 N 4 N 52 N 0 55 90 82 N N N 10 62 N 86 62 63 45 N N 95 67 N 33 84 N 41 N 94 N N 42 82 N 79 N N N N 90 N N N N 62 53 N N N 7 N N 0 38 N N 38 65 13 N 52 N N N N N 5 12 N 2 82 97 N N 53 N 39 7 N 87 N N N N N N N N N N 15 N N N 0 51 N 76 29 N 87 77 N N 46 N 56 65 N 15 91 54 85 N 1 N N 3 N 10 N N 65 N N 66 33 54 13 N N 32 N 83 N N 1 N N N 2 90 34 86 31 N N N 80 36 N 72 N N N 91 N N 86 97 N N 71 N 91 82 60 17 54 N 69 N N N N 10 N 90 N N 19 N 63 26 N N 55 28 N 10 N 95 51 100 89 24 32 N N N N N 28 N 0 N N N 52 N N N 8 N N 74 18 25 15 89 16 20 48 68 54 N N 9 N 4 78 1 68 21 N 29 66 N N N 83 51 61 N N 0 95 61 N N N 6 61 62 N N N 30 N 79 11 94 100 79 N 35 N N N 50 69 7 N N N N N N 40 47 N N 22 9 N N N 87 N 99 N N 51 36 N 81 N N N N 96 6 N N 69 40 N 95 80 N 78 N 58 N N 10 N 4 N N N 58 N 4 N N 4 N 98 N 43 N N 70 45 N N N N N 35 N 93 66 34 74 42 N 70 N 92 N 56 35 N N N N N 88 56 N 14 72 98 N N N N N 52 N 44 53 N N N N N 66 N N N N 37 34 N N 65 N N N N N N 77 89 N 55 N N N 79 28 59 95 N N N N N N N N N 
64 N 9 77 94 85 N 93 3 0 N 57 N N N N N N 11 52 N N N 67 N N 21 N N 86 N 3 N N 74 N 80 74 N 22 31 N 16 N N 13 92 N 92 22 38 N 67 50 N 29 31 N 19 76 N N N 82 95 N N 55 69 N N N N 39 66 65 N N 37 14 1 N N 55 100 N 65 N N 80 N 53 N 58 74 N N N 52 21 8 6 N N N 81 N N 87 N 67 N N N N 77 N 59 N N 30 76 N 65 50 96 59 N N N N N 91 27 40 53 66 6 N N 50 66 5 19 N N N N N N N 69 83 N 59 2 47 N N N 54 56 89 33 N N N N 25 15 79 N N N N 19 N 97 30 12 38 92 90 32 N 82 N N 83 N N 37 22 23 N 53 N N N 51 94 N N N N 91 N 38 58 65 21 N N 14 6 N N 92 N 47 58 68 99 N N N 45 N N 69 N N 32 N N N 46 35 58 45 49 77 2 57 62 N N 93 56 23 N 85 10 N 77 33 N 78 N N 48 49 N N N 67 38 59 N N N N N 21 N 17 89 42 95 94 95 N 50 33 1 N N 42 N N 35 N N N N 40 3 N N 17 N 25 N 82 N N N 1 83 N N N N 47 N N N N 76 33 57 15 67 87 88 66 43 N N 27 N 5 17 N 87 N 28 43 38 41 N 82 N 69 93 22 35 19 84 N 0 48 93 81 68 N N 47 N 95 N N 69 67 N N N N N 20 8 92 39 47 57 N 68 N 8 100 53 98 N 55 N 92 37 94 64 N N N 82 92 45 N 49 40 63 77 N 39 N N 72 5 26 N 77 N 10 0 N 45 66 N N 8 31 N N N N N N 68 64 N N N N 98 80 N N N 87 22 N 95 N 26 N 78 N 46 66 N 49 N 77 62 N N N N N 46 36 9 81 N N 67 49 N N 31 N N N N N 40 N 61 N N N 44 52 N N N N N N 10 86 N 89 7 N 38 N N N N 5 N 
1 19 73 88 72 N N N N 93 0 47 87 N N N N N N 88 N 64 N 49 N N N N 8 N 16 N 75 N N 8 N 46 N 56 37 20 N N N 89 N 26 N N 39 N 45 92 57 N 44 53 N N N 48 23 25 N N N N 39 N 40 84 83 N N 28 N N 14 96 N 99 1 N N 5 N 63 45 N N N 20 49 N N N N N 93 N N N N 52 74 N 66 10 7 N 2 N 35 N 84 25 30 62 N 52 N 58 N N N N 97 N N N 8 85 82 N 87 1 47 81 86 N 94 19 95 18 80 N N N 18 94 76 17 N N 39 N 87 1 N 96 15 80 32 77 20 34 18 97 72 N N N 27 80 47 76 43 92 N N 56 32 71 N N N 41 66 N 54 N N N 27 56 N 99 65 40 N N 91 N 27 N 69 31 4 N N N 37 N N N N N N 70 33 94 72 N 15 22 N N N 19 N 97 N N N 52 N 51 56 93 N N N 57 59 71 N 18 N N N N N 26 N 29 N N N 9 76 N N 13 N N N 12 N 69 58 22 N N 88 61 32 N 80 62 N N 12 N N N N N 7 N N 87 N 8 N 91 N N 100 79 N N N 27 37 N 74 N 46 23 N N 93 N N 31 23 18 35 85 N 10 56 N N N 42 97 14 N 71 53 38 N N N 84 49 91 37 N N N N N 34 13 78 73 62 N N 26 0 74 57 24 71 N N 0 29 N N N 64 94 N 23 N N 75 90 N 64 59 40 14 10 N 90 100 N 14 50 N 9 62 N N 7 N 9 N N N 66 79 N 15 0 59 N 74 59 13 N N 46 N 19 53 N 79 N 44 N 40 14 40 N 47 32 61 37 N N 41 N N N 41 N 19 N N 11 2 96 58 N N N N N N 37 47 10 N N N N 40 N N N 9 N 91 44 59 75 N 66 N 17 N 31 43 1 N N 48 N 6 37 38 52 N 10 20 N N 6 N N N 33 N N 96 N 63 11 N 23 N N N 
